country,iso3,population,estimated_greywater_m3_year,greywater_tons_per_hour
Armenia,ARM,2964300,148215000,16919.520547945205
Aruba,ABW,107359,5367950,612.7796803652968
Australia,AUS,26659922,1332996100,152168.50456621006
Austria,AUT,9131761,456588050,52121.92351598173
Azerbaijan,AZE,10153958,507697900,57956.381278538815
"Bahamas, The",BHS,399440,19972000,2279.9086757990867
Bahrain,BHR,1577059,78852950,9001.478310502283
Bangladesh,BGD,171466990,8573349500,978692.8652968038
Barbados,BRB,282336,14116800,1611.5068493150684
Belarus,BLR,9178298,458914900,52387.545662100456
Belgium,BEL,11779946,588997300,67237.13470319634
Belize,BLZ,411106,20555300,2346.4954337899544
Benin,BEN,14111034,705551700,80542.43150684932
Bermuda,BMU,64698,3234900,369.2808219178082
Bhutan,BTN,786385,39319250,4488.498858447489
Bolivia,BOL,12244159,612207950,69886.75228310503
Bosnia and Herzegovina,BIH,3185073,159253650,18179.640410958902
Botswana,BWA,2480244,124012200,14156.643835616438
Brazil,BRA,211140729,10557036450,1205141.147260274
British Virgin Islands,VGB,38985,1949250,222.51712328767124
Brunei Darussalam,BRN,458949,22947450,2619.571917808219
Bulgaria,BGR,6446596,322329800,36795.63926940639
Burkina Faso,BFA,23025776,1151288800,131425.66210045663
Burundi,BDI,13689450,684472500,78136.1301369863
Cabo Verde,CPV,522331,26116550,2981.3413242009133
Cambodia,KHM,17423880,871194000,99451.3698630137
Cameroon,CMR,28372687,1418634350,161944.5605022831
Canada,CAN,40083484,2004174200,228787.0091324201
Cayman Islands,CYM,73038,3651900,416.88356164383566
Central African Republic,CAF,5152421,257621050,29408.795662100456
Chad,TCD,19319064,965953200,110268.6301369863
Channel Islands,CHI,167691,8384550,957.140410958904
Chile,CHL,19658835,982941750,112207.96232876713
China,CHN,1410710000,70535500000,8051997.716894977
Colombia,COL,52321152,2616057600,298636.7123287671
Comoros,COM,850387,42519350,4853.807077625571
"Congo, Dem. Rep.",COD,105789731,5289486550,603822.6655251142
"Congo, Rep.",COG,6182885,309144250,35290.43949771689
Costa Rica,CRI,5105525,255276250,29141.124429223742
Cote d'Ivoire,CIV,31165654,1558282700,177886.1529680365
Croatia,HRV,3859686,192984300,22030.171232876713
Cuba,CUB,11019931,550996550,62899.149543379
Curacao,CUW,154654,7732700,882.7283105022831
Cyprus,CYP,1344976,67248800,7676.803652968037
Czechia,CZE,10864042,543202100,62009.37214611872
Denmark,DNK,5946952,297347600,33943.789954337895
Djibouti,DJI,1152944,57647200,6580.730593607306
Dominica,DMA,66510,3325500,379.6232876712329
Dominican Republic,DOM,11331265,566563250,64676.1700913242
Ecuador,ECU,17980083,899004150,102626.04452054795
"Egypt, Arab Rep.",EGY,114535772,5726788600,653742.9908675799
El Salvador,SLV,6309624,315481200,36013.83561643836
Equatorial Guinea,GNQ,1847549,92377450,10545.37100456621
Eritrea,ERI,3470390,173519500,19808.162100456622
Estonia,EST,1370286,68514300,7821.267123287671
Eswatini,SWZ,1230506,61525300,7023.436073059361
Ethiopia,ETH,128691692,6434584600,734541.6210045662
Faroe Islands,FRO,54414,2720700,310.5821917808219
Fiji,FJI,924145,46207250,5274.8002283105025
Finland,FIN,5583911,279195550,31871.63812785388
France,FRA,68372286,3418614300,390252.77397260274
French Polynesia,PYF,281118,14055900,1604.554794520548
Gabon,GAB,2484789,124239450,14182.585616438357
"Gambia, The",GMB,2697845,134892250,15398.658675799086
Georgia,GEO,3715483,185774150,21207.094748858446
Germany,DEU,83287273,4164363650,475383.9783105023
Ghana,GHA,33787914,1689395700,192853.3904109589
Gibraltar,GIB,38471,1923550,219.58333333333334
Greece,GRC,10407351,520367550,59402.688356164384
Greenland,GRL,56865,2843250,324.5719178082192
Grenada,GRD,117081,5854050,668.2705479452055
Guam,GUM,166506,8325300,950.3767123287671
Guatemala,GTM,18124838,906241900,103452.2716894977
Guinea,GIN,14405468,720273400,82222.99086757991
Guinea-Bissau,GNB,2153339,107666950,12290.747716894977
Guyana,GUY,826353,41317650,4716.626712328767
Haiti,HTI,11637398,581869900,66423.50456621005
Honduras,HND,10644851,532242550,60758.28196347033
"Hong Kong SAR, China",HKG,7536100,376805000,43014.2694063927
Hungary,HUN,9592186,479609300,54749.9200913242
Iceland,ISL,385663,19283150,2201.2728310502284
India,IND,1438069596,71903479800,8208159.794520549
Indonesia,IDN,281190067,14059503350,1604966.1358447487
"Iran, Islamic Rep.",IRN,90608707,4530435350,517172.9851598174
Iraq,IRQ,45074049,2253702450,257271.9691780822
Ireland,IRL,5311538,265576900,30316.997716894974
Isle of Man,IMN,84165,4208250,480.39383561643837
Israel,ISR,9849000,492450000,56215.75342465754
Italy,ITA,58984216,2949210800,336667.899543379
Jamaica,JAM,2839786,141989300,16208.824200913243
Japan,JPN,124516650,6225832500,710711.4726027398
Jordan,JOR,11439213,571960650,65292.311643835616
Kazakhstan,KAZ,20330104,1016505200,116039.40639269406
Kenya,KEN,55339003,2766950150,315861.8892694064
Kiribati,KIR,132530,6626500,756.4497716894977
"Korea, Dem. People's Rep.",PRK,26418204,1320910200,150788.83561643836
"Korea, Rep.",KOR,51712619,2585630950,295163.350456621
Kosovo,XKX,1682668,84133400,9604.269406392694
Kuwait,KWT,4853420,242671000,27702.16894977169
Kyrgyz Republic,KGZ,7099750,354987500,40523.68721461188
Lao PDR,LAO,7664993,383249650,43749.9600456621
Latvia,LVA,1883710,94185500,10751.769406392694
Lebanon,LBN,5773493,288674650,32953.72716894977
Lesotho,LSO,2311472,115573600,13193.333333333334
Liberia,LBR,5493031,274651550,31352.916666666668
Libya,LBY,7305659,365282950,41698.966894977166
Liechtenstein,LIE,39846,1992300,227.43150684931507
Lithuania,LTU,2871585,143579250,16390.325342465752
Luxembourg,LUX,666430,33321500,3803.8242009132423
"Macao SAR, China",MAC,678800,33940000,3874.429223744292
Madagascar,MDG,31195932,1559796600,178058.97260273973
Malawi,MWI,21104482,1055224100,120459.37214611872
Malaysia,MYS,35126298,1756314900,200492.56849315067
Maldives,MDV,525994,26299700,3002.2488584474886
Mali,MLI,23769127,1188456350,135668.53310502283
Malta,MLT,552747,27637350,3154.9486301369866
Marshall Islands,MHL,38827,1941350,221.61529680365297
Mauritania,MRT,5022441,251122050,28666.900684931505
Mauritius,MUS,1248647,62432350,7126.980593607306
Mexico,MEX,129739759,6486987950,740523.7385844748
"Micronesia, Fed. Sts.",FSM,112630,5631500,642.865296803653
Moldova,MDA,2457783,122889150,14028.441780821917
Monaco,MCO,38956,1947800,222.35159817351598
Mongolia,MNG,3481145,174057250,19869.54908675799
Montenegro,MNE,623529,31176450,3558.955479452055
Morocco,MAR,37712505,1885625250,215254.02397260276
Mozambique,MOZ,33635160,1681758000,191981.50684931505
Myanmar,MMR,54133798,2706689900,308982.86529680365
Namibia,NAM,2963095,148154750,16912.642694063925
Nauru,NRU,11875,593750,67.77968036529681
Nepal,NPL,29694614,1484730700,169489.80593607304
Netherlands,NLD,17877117,893855850,102038.33904109588
New Caledonia,NCL,289870,14493500,1654.5091324200912
New Zealand,NZL,5200000,260000000,29680.36529680365
Nicaragua,NIC,6823613,341180650,38947.56278538812
Niger,NER,26159867,1307993350,149314.3093607306
Nigeria,NGA,227882945,11394147250,1300701.74086758
North Macedonia,MKD,1827816,91390800,10432.739726027397
Northern Mariana Islands,MNP,45143,2257150,257.6655251141553
Norway,NOR,5519601,275980050,31504.571917808218
Oman,OMN,5049269,252463450,28820.028538812785
Pakistan,PAK,247504495,12375224750,1412696.8892694062
Palau,PLW,17727,886350,101.18150684931506
Panama,PAN,4458759,222937950,25449.537671232876
Papua New Guinea,PNG,10389635,519481750,59301.56963470319
Paraguay,PRY,6844146,342207300,39064.760273972606
Peru,PER,33845617,1692280850,193182.74543378994
Philippines,PHL,114891199,5744559950,655771.6837899544
Poland,POL,36687353,1834367650,209402.69977168948
Portugal,PRT,10578174,528908700,60377.70547945206
Puerto Rico (US),PRI,3203792,160189600,18286.48401826484
Qatar,QAT,2656032,132801600,15160.0
Romania,ROU,19061062,953053100,108796.01598173515
Russian Federation,RUS,143826130,7191306500,820925.399543379
Rwanda,RWA,13954471,697723550,79648.80707762558
Samoa,WSM,216663,10833150,1236.6609589041095
San Marino,SMR,33860,1693000,193.2648401826484
Sao Tome and Principe,STP,230871,11543550,1317.7568493150686
Saudi Arabia,SAU,33702731,1685136550,192367.18607305936
Senegal,SEN,18077573,903878650,103182.49429223745
Serbia,SRB,6623183,331159150,37803.55593607306
Seychelles,SYC,119773,5988650,683.6358447488584
Sierra Leone,SLE,8460512,423025600,48290.593607305935
Singapore,SGP,5917648,295882400,33776.5296803653
Sint Maarten (Dutch part),SXM,42749,2137450,244.0011415525114
Slovak Republic,SVK,5426740,271337000,30974.543378995437
Slovenia,SVN,2120461,106023050,12103.08789954338
Solomon Islands,SLB,800005,40000250,4566.238584474886
"Somalia, Fed. Rep.",SOM,18358615,917930750,104786.61529680365
South Africa,ZAF,63212384,3160619200,360801.2785388128
South Sudan,SSD,11483374,574168700,65544.37214611872
Spain,ESP,48352528,2417626400,275984.7488584475
Sri Lanka,LKA,22037000,1101850000,125781.96347031964
St. Kitts and Nevis,KNA,46758,2337900,266.8835616438356
St. Lucia,LCA,179285,8964250,1023.316210045662
St. Martin (French part),MAF,27515,1375750,157.04908675799086
St. Vincent and the Grenadines,VCT,101323,5066150,578.3276255707763
Sudan,SDN,50042791,2502139550,285632.3687214612
Suriname,SUR,628886,31444300,3589.5319634703196
Sweden,SWE,10536632,526831600,60140.593607305935
Switzerland,CHE,8888822,444441100,50735.28538812785
Syrian Arab Republic,SYR,23594623,1179731150,134672.50570776255
Tajikistan,TJK,10389799,519489950,59302.50570776255
Tanzania,TZA,66617606,3330880300,380237.4771689498
Thailand,THA,71702435,3585121750,409260.4737442922
Timor-Leste,TLS,1384286,69214300,7901.175799086758
Togo,TGO,9304337,465216850,53106.94634703197
Tonga,TON,104597,5229850,597.0148401826484
Trinidad and Tobago,TTO,1367510,68375500,7805.422374429224
Tunisia,TUN,12200431,610021550,69637.16324200913
Turkiye,TUR,85325965,4266298250,487020.34817351593
Turkmenistan,TKM,7364438,368221900,42034.463470319635
Turks and Caicos Islands,TCA,46198,2309900,263.68721461187215
Tuvalu,TUV,9816,490800,56.02739726027397
Uganda,UGA,48656601,2432830050,277720.3253424657
Ukraine,UKR,37732836,1886641800,215370.06849315067
United Arab Emirates,ARE,10483751,524187550,59838.761415525114
United Kingdom,GBR,68492000,3424600000,390936.07305936073
United States,USA,336806231,16840311550,1922409.9942922376
Uruguay,URY,3388081,169404050,19338.36187214612
Uzbekistan,UZB,35652307,1782615350,203494.9029680365
Vanuatu,VUT,320409,16020450,1828.8184931506848
"Venezuela, RB",VEN,28300854,1415042700,161534.55479452055
Viet Nam,VNM,100352192,5017609600,572786.4840182648
Virgin Islands (U.S.),VIR,104917,5245850,598.8413242009133
West Bank and Gaza,PSE,5165775,258288750,29485.01712328767
"Yemen, Rep.",YEM,39390799,1969539950,224833.3276255708
Zambia,ZMB,20723965,1036198250,118287.47146118722
Zimbabwe,ZWE,16340822,817041100,93269.53196347032
