country,iso3,population,estimated_greywater_m3_year,greywater_tons_per_hour,reuse_efficiency_pct,estimated_reused_water_m3_year,reuse_effectiveness_class,untapped_reuse_m3_year,predicted_reuse_class,urban_population_pct,improved_reuse_score,improved_reuse_class,water_stress_pct,water_risk_score,water_risk_class,infrastructure_intelligence_score,infrastructure_class
Sub-Saharan Africa,SSF,1259889959,62994497950,7191152.734018265,9.878869473895964,6223144228.216569,Low,56771353721.78343,Low,43.6392284682928,23.38301307165469,Low,,,,,
Sub-Saharan Africa (excluding high income),SSA,1131078494,56553924700,6455927.47716895,76.16641529399999,43075097152.05804,Highly Effective,13478827547.941963,Highly Effective,45.980688615295,64.092124622518,Good,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1259889959,62994497950,7191152.734018265,77.42240248059196,48771853743.47725,Highly Effective,14222644206.52275,Highly Effective,43.6392284682928,63.9091328756723,Good,,,,,
Afghanistan,AFG,41454761,2072738050,236613.93264840185,65.62980110873458,1360333859.7200637,Highly Effective,712404190.2799363,Highly Effective,25.4730529631167,49.56710185048743,Moderate,54.75701944,52.16206064524371,High Risk,51.124077127341195,Advanced
Albania,ALB,2414095,120704750,13779.081050228311,27.8460326880028,33611484.14097206,Moderate,87093265.85902794,Moderate,58.2106086137857,39.99186305831596,Moderate,4.789663462,22.39076326015798,Low Risk,29.43120317942117,Emerging
Algeria,DZA,46164219,2308210950,263494.4006849315,12.325408550478793,284496429.79438776,Low,2023714520.205612,Low,74.732808364138,37.28836847594248,Moderate,144.8149712,91.05166983797125,Critical,69.54634929315974,Advanced
American Samoa,ASM,47521,2376050,271.23858447488584,56.31747698841177,1338131.4119831575,Good,1037918.5880168424,Good,81.3721542708222,66.33934790137593,Good,,,,,
Andorra,AND,80856,4042800,461.5068493150685,38.0114370304701,1536726.376267845,Moderate,2506073.623732155,Moderate,88.8201609217082,58.33492658696534,Good,,,,,
Angola,AGO,36749906,1837495300,209759.7374429224,14.152867613358412,260058277.210683,Low,1577437022.7893171,Low,69.8515032220457,36.432321856833326,Moderate,1.871883289,19.152102572916665,Low Risk,26.064190286483328,Emerging
Antigua and Barbuda,ATG,93316,4665800,532.6255707762557,42.13826825834526,1966087.3203978727,Good,2699712.6796021266,Good,24.4500156687422,35.06296722250404,Moderate,8.461538462,21.76225284225202,Low Risk,27.08253859435283,Emerging
Argentina,ARG,45538401,2276920050,259922.3801369863,7.57913908364138,172570937.41281685,Low,2104349112.5871832,Low,92.1945132257907,41.42528874050111,Moderate,10.45666408,25.940976410250556,Moderate Risk,32.13470134235078,Emerging
Armenia,ARM,2964300,148215000,16919.520547945205,73.19903015590866,108491942.54558004,Highly Effective,39723057.45441997,Highly Effective,65.6956882008852,70.19769337389928,Advanced,61.97296752,66.08533044694964,High Risk,67.7302756177295,Advanced
Aruba,ABW,107359,5367950,612.7796803652968,24.408498620001268,1310236.001672358,Moderate,4057713.9983276417,Moderate,61.8351492675589,39.37915887902432,Moderate,,,,,
Australia,AUS,26659922,1332996100,152168.50456621006,54.689171326548646,729004520.9052117,Good,603991579.0947883,Good,87.4866955653765,67.8081810220798,Good,4.672295939,36.240238480539894,Moderate Risk,48.86741549715586,Emerging
Austria,AUT,9131761,456588050,52121.92351598173,28.37833070670582,129572066.79629932,Moderate,327015983.20370066,Moderate,69.2265358276021,44.71761275506434,Moderate,8.676429953,26.697021354032167,Moderate Risk,33.90525791444504,Emerging
Azerbaijan,AZE,10153958,507697900,57956.381278538815,44.00510158833581,223412976.6568476,Good,284284923.3431524,Good,58.5075350483702,49.80607497234956,Moderate,57.52704791,53.66656144117478,High Risk,52.12236685364469,Advanced
"Bahamas, The",BHS,399440,19972000,2279.9086757990867,46.00327095074597,9187773.274282986,Good,10784226.725717014,Good,81.3213799173676,60.13051453739463,Good,,,,,
Bahrain,BHR,1577059,78852950,9001.478310502283,18.86408416441453,14874886.854123706,Low,63978063.145876296,Low,100.0,51.31845049864872,Good,133.7068966,92.51267354932436,Critical,76.0349843290541,Highly Advanced
Bangladesh,BGD,171466990,8573349500,978692.8652968038,77.7188470823419,6663108387.739723,Highly Effective,1910241112.2602768,Highly Effective,32.1578465036834,59.4944468508785,Good,5.723339482,32.608893166439245,Moderate Risk,43.363114640214945,Emerging
Barbados,BRB,282336,14116800,1611.5068493150684,63.13496175208359,8912636.280618137,Highly Effective,5204163.719381863,Highly Effective,59.4235740235775,61.65040666068116,Good,87.5,74.57520333034059,High Risk,69.40528466247682,Advanced
Belarus,BLR,9178298,458914900,52387.545662100456,75.46242061731418,346308292.1135268,Highly Effective,112606607.88647324,Highly Effective,78.8146420666327,76.80330919704159,Advanced,4.660514173,40.73191168502079,Moderate Risk,55.16047068982911,Advanced
Belgium,BEL,11779946,588997300,67237.13470319634,72.11205128207366,424738035.0260293,Highly Effective,164259264.9739707,Highly Effective,87.551492636772,78.287827823953,Advanced,52.82574225,65.55678503697649,High Risk,70.6492021517671,Advanced
Belize,BLZ,411106,20555300,2346.4954337899544,49.84249841083138,10245275.075841624,Good,10310024.924158376,Good,41.9459437504976,46.68387654669787,Moderate,1.260294485,23.972085515848935,Low Risk,33.056801928188506,Emerging
Benin,BEN,14111034,705551700,80542.43150684932,74.14056762673376,523100035.2800697,Highly Effective,182451664.71993035,Highly Effective,51.7457922964593,65.18265749462398,Good,0.975243811,33.07895065281199,Moderate Risk,45.92043338953678,Emerging
Bermuda,BMU,64698,3234900,369.2808219178082,11.636937653893964,376443.2961658158,Low,2858456.7038341844,Low,100.0,46.98216259233638,Moderate,,,,,
Bhutan,BTN,786385,39319250,4488.498858447489,19.698714681435888,7745386.872380481,Low,31573863.12761952,Low,41.7352457989939,28.513327128459096,Low,1.413807531,14.963567329729548,Low Risk,20.383471249221365,Developing
Bolivia,BOL,12244159,612207950,69886.75228310503,8.392046668290355,51376776.87098369,Low,560831173.1290163,Low,70.9151414044538,33.401284562755734,Moderate,0.202979589,16.802132075877868,Low Risk,23.441793070629014,Developing
Bosnia and Herzegovina,BIH,3185073,159253650,18179.640410958906,29.399774807244825,46820214.472317845,Moderate,112433435.52768216,Moderate,51.5657239834305,38.2661544777191,Moderate,2.071713147,20.168933812359548,Low Risk,27.40782207850337,Emerging
Botswana,BWA,2480244,124012200,14156.643835616438,34.15079672671115,42351154.33832248,Moderate,81661045.66167751,Moderate,67.0212655349864,47.29898425002125,Moderate,2.230009819,24.764497034510626,Low Risk,33.77829192071488,Emerging
Brazil,BRA,211140729,10557036450,1205141.147260274,25.35117738304219,2676333036.83192,Moderate,7880703413.168079,Moderate,87.6159710235763,50.25709483925584,Good,1.495816821,25.87645583012792,Moderate Risk,35.62871143377909,Emerging
British Virgin Islands,VGB,38985,1949250,222.51712328767124,67.1553131863947,1309024.9422857985,Highly Effective,640225.0577142015,Highly Effective,55.6407774494219,62.54949889160558,Good,,,,,
Brunei Darussalam,BRN,458949,22947450,2619.571917808219,31.7564995020192,7287306.844976105,Moderate,15660143.155023895,Moderate,74.8199193881365,48.98186745646612,Moderate,3.466465712,26.22416658423306,Moderate Risk,35.32724693312628,Emerging
Bulgaria,BGR,6446596,322329800,36795.63926940639,26.07008822655356,84031663.24047363,Moderate,238298136.7595264,Moderate,73.7322671584613,45.134959799316654,Moderate,40.23530092,42.68513035965833,Moderate Risk,43.66506213552166,Emerging
Burkina Faso,BFA,23025776,1151288800,131425.66210045663,45.70220623686863,526164381.7579701,Good,625124418.2420299,Good,27.7872478365158,38.5362228767275,Moderate,7.820267686,23.17824528136375,Low Risk,29.321436319509253,Emerging
Burundi,BDI,13689450,684472500,78136.1301369863,15.569316873107198,106567692.43427868,Low,577904807.5657213,Low,23.5534768372276,18.762980858755355,Low,10.19286754,14.477924199377679,Low Risk,16.19194686312875,Developing
Cabo Verde,CPV,522331,26116550,2981.3413242009133,65.16477355655297,17018790.668283936,Highly Effective,9097759.331716064,Highly Effective,75.9064245753376,69.46143396406683,Good,59.68371,64.57257198203341,High Risk,66.52811677484678,Advanced
Cambodia,KHM,17423880,871194000,99451.3698630137,10.591298275982812,92270755.1024657,Low,778923244.8975343,Low,40.6290788072508,22.60641048849001,Low,1.036544851,11.821477669745004,Low Risk,16.135450797243006,Developing
Cameroon,CMR,28372687,1418634350,161944.5605022831,79.01652024503879,1120955498.3708243,Highly Effective,297678851.62917566,Highly Effective,55.1286878511388,69.4613872874788,Good,1.560430108,35.5109086977394,Moderate Risk,49.09110013363516,Emerging
Canada,CAN,40083484,2004174200,228787.0091324201,62.918357697249306,1260993492.0319848,Highly Effective,743180707.9680152,Highly Effective,82.5250564408346,70.76103719468342,Advanced,3.720700309,37.24086875184171,Moderate Risk,50.6489361289784,Advanced
Cayman Islands,CYM,73038,3651900,416.88356164383566,19.90367611506293,726862.3480459831,Low,2925037.6519540166,Low,100.0,51.94220566903776,Good,,,,,
Central African Republic,CAF,5152421,257621050,29408.795662100456,5.41415878427018,13948012.708704071,Low,243673037.29129592,Low,43.6983692134165,20.727842955928708,Low,0.335648148,10.531745551964354,Low Risk,14.610184513550095,Developing
Chad,TCD,19319064,965953200,110268.6301369863,66.15960713411256,639070842.2193886,Highly Effective,326882357.7806114,Highly Effective,26.3305395171046,50.227980087309376,Good,4.294921875,27.261450981154688,Moderate Risk,36.448062623616565,Emerging
Channel Islands,CHI,167691,8384550,957.140410958904,58.01430078857128,4864238.056768153,Good,3520311.943231847,Good,32.7554337975051,47.910753992144805,Moderate,,,,,
Chile,CHL,19658835,982941750,112207.96232876711,59.67553760307405,586575773.6375641,Good,396365976.362436,Good,88.8158617217972,71.33166725056331,Advanced,8.982121089,40.15689416978166,Moderate Risk,52.62680340209432,Advanced
China,CHN,1410710000,70535500000,8051997.716894977,62.84527600144593,44328229653.99989,Highly Effective,26207270346.000107,Highly Effective,65.5301448035523,63.91922352228848,Good,41.5185288,52.71887616114424,High Risk,57.19901510560194,Advanced
Colombia,COL,52321152,2616057600,298636.7123287671,10.553348880056776,276081685.4312402,Low,2339975914.56876,Low,78.275571579544,37.64223795985167,Moderate,3.632281437,20.637259698425837,Low Risk,27.43925100299617,Emerging
Comoros,COM,850387,42519350,4853.807077625571,31.884929640820445,13557264.831234189,Moderate,28962085.168765813,Moderate,33.1502180946901,32.39104502236831,Moderate,0.833333333,16.612189177684154,Low Risk,22.92373151555782,Developing
"Congo, Dem. Rep.",COD,105789731,5289486550,603822.6655251142,13.690179464384729,724140201.4394922,Low,4565346348.560508,Low,44.3754734892194,25.9642970743186,Low,0.226883505,13.0955902896593,Low Risk,18.243073003523023,Developing
"Congo, Rep.",COG,6182885,309144250,35290.43949771689,69.73275694066952,215574808.4485557,Highly Effective,93569441.55144428,Highly Effective,63.6626757615625,67.30472446902671,Good,0.027446301,33.66608538501335,Moderate Risk,47.12154101861869,Emerging
Costa Rica,CRI,5105525,255276250,29141.124429223742,51.74735951206684,132098718.83642252,Good,123177531.16357748,Good,78.8819393641702,62.60119145290818,Good,5.881962457,34.24157695495409,Moderate Risk,45.58542275413573,Emerging
Cote d'Ivoire,CIV,31165654,1558282700,177886.1529680365,29.817351863948687,464638635.69404,Moderate,1093644064.3059602,Moderate,53.4075201638704,39.25341918391737,Moderate,5.087565674,22.17049242895869,Low Risk,29.00366313094216,Emerging
Croatia,HRV,3859686,192984300,22030.17123287672,9.766876271451771,18848537.804327305,Low,174135762.1956727,Low,57.2431560672198,28.757388189758984,Low,1.509559804,15.133473996879491,Low Risk,20.58303967403129,Developing
Cuba,CUB,11019931,550996550,62899.149543379,28.323674128674664,156062467.28223994,Moderate,394934082.7177601,Moderate,77.1259872296321,47.84459936905764,Moderate,23.93944607,35.89202271952882,Moderate Risk,40.67305337934035,Emerging
Curacao,CUW,154654,7732700,882.7283105022831,29.388749152006028,2272543.80567717,Moderate,5460156.19432283,Moderate,91.4080929292235,54.19648666289302,Good,,,,,
Cyprus,CYP,1344976,67248800,7676.803652968037,59.7204633753548,40161294.9743656,Good,27087505.0256344,Good,66.6739477522639,62.50185712611844,Good,30.48113723,46.49149717805922,Moderate Risk,52.89564115728291,Advanced
Czechia,CZE,10864042,543202100,62009.37214611872,52.81681035164098,286902022.9831312,Good,256300077.01686883,Good,72.7352388396817,60.78418174685727,Good,21.97384428,41.37901301342863,Moderate Risk,49.14108050680009,Emerging
Denmark,DNK,5946952,297347600,33943.789954337895,71.54095569322449,212725314.7708664,Highly Effective,84622285.2291336,Highly Effective,88.552638542867,78.34562883308149,Advanced,25.26636019,51.805994511540746,High Risk,62.42184824015704,Advanced
Djibouti,DJI,1152944,57647200,6580.730593607306,40.4161193871462,23298761.17534694,Good,34348438.82465306,Good,72.8408245988921,53.386001471844565,Good,6.333333333,29.859667402422282,Moderate Risk,39.270201030191195,Emerging
Dominica,DMA,66510,3325500,379.6232876712329,13.969568445372628,464557.99865086674,Low,2860942.001349133,Low,73.1105011438027,37.625941524744654,Moderate,10.0,23.812970762372327,Low Risk,29.338159067321257,Emerging
Dominican Republic,DOM,11331265,566563250,64676.1700913242,58.493359041724624,331401876.0209639,Good,235161373.9790361,Good,72.3577991823338,64.0391350979683,Good,39.55331412,51.79622460898415,High Risk,56.69338880457781,Advanced
Ecuador,ECU,17980083,899004150,102626.04452054796,62.05887864626731,557911894.4734069,Highly Effective,341092255.5265931,Highly Effective,63.1307729554263,62.4876363699309,Good,6.782352941,34.63499465546545,Moderate Risk,45.77605134125163,Emerging
"Egypt, Arab Rep.",EGY,114535772,5726788600,653742.9908675799,47.095789817712216,2697076322.360704,Good,3029712277.639296,Good,42.7098115041919,45.34139849230409,Moderate,141.1657559,93.25357719615204,Critical,74.08870571461286,Advanced
El Salvador,SLV,6309624,315481200,36013.83561643836,62.82253849659208,198193298.31951064,Highly Effective,117287901.68048936,Highly Effective,74.6080675149903,67.53675010395136,Good,12.09309202,39.81492106197568,Moderate Risk,50.90365267876595,Advanced
Equatorial Guinea,GNQ,1847549,92377450,10545.37100456621,42.03466972732931,38830556.010028765,Good,53546893.98997124,Good,71.1290664883517,53.67242843173827,Good,0.183503244,26.927965837869134,Moderate Risk,37.625750875416784,Emerging
Eritrea,ERI,3470390,173519500,19808.162100456622,44.20496220364956,76704229.39096169,Good,96815270.60903832,Good,34.696403503418,40.40153872355694,Moderate,11.17511521,25.78832696677847,Moderate Risk,31.63361166948986,Emerging
Estonia,EST,1370286,68514300,7821.267123287671,37.06557637689122,25395220.195592385,Moderate,43119079.80440761,Moderate,70.6770085523126,50.51014924705977,Good,13.04628519,31.778217218529885,Moderate Risk,39.27099002994184,Emerging
Eswatini,SWZ,1230506,61525300,7023.436073059361,6.906434505807139,4249204.54900136,Low,57276095.45099864,Low,25.8081878500755,14.467135843514484,Low,77.55991285,46.013524346757244,Moderate Risk,33.39496894546014,Emerging
Ethiopia,ETH,128691692,6434584600,734541.6210045662,13.091857024497834,842406615.9523559,Low,5592177984.047644,Low,23.0586471557617,17.07857307700338,Low,32.25718654,24.667879808501688,Low Risk,21.632157115902366,Developing
Faroe Islands,FRO,54414,2720700,310.5821917808219,7.357188926505069,200167.0391234234,Low,2520532.9608765766,Low,39.1975270123645,20.093324160848844,Low,,,,,
Fiji,FJI,924145,46207250,5274.800228310503,52.73078084478353,24365443.73190124,Good,21841806.26809876,Good,58.6069049738768,55.08123049642085,Good,0.29737303,27.689301763210427,Moderate Risk,38.64607325649459,Emerging
Finland,FIN,5583911,279195550,31871.63812785388,28.5766985807245,79784870.77429596,Moderate,199410679.22570404,Moderate,74.0062548602828,46.74852109254782,Moderate,7.11406213,26.93129161127391,Moderate Risk,34.85818340378347,Emerging
France,FRA,68372286,3418614300,390252.77397260274,43.14280183735271,1474885993.0324025,Good,1943728306.9675968,Good,78.7804323126547,57.3978540274735,Good,21.38462716,39.391240593736754,Moderate Risk,46.59388596723145,Emerging
French Polynesia,PYF,281118,14055900,1604.554794520548,73.06748554445697,10270292.700643327,Highly Effective,3785607.299356673,Highly Effective,61.6967135028569,68.51917672781694,Good,,,,,
Gabon,GAB,2484789,124239450,14182.585616438357,23.69691718616562,29440919.579047643,Moderate,94798530.42095236,Moderate,91.6375962797313,50.87318882359189,Good,0.502166065,25.687677444295943,Moderate Risk,35.761881996014324,Emerging
"Gambia, The",GMB,2697845,134892250,15398.658675799086,35.77871922767223,48262719.38738969,Moderate,86629530.61261031,Moderate,63.8020182456108,46.98803883484766,Moderate,2.209656372,24.598847603423827,Low Risk,33.55452409599336,Emerging
Georgia,GEO,3715483,185774150,21207.09474885845,61.66633539072865,114560110.40827532,Highly Effective,71214039.59172468,Highly Effective,60.7523077799724,61.30072434642615,Good,4.212964169,32.75684425771308,Moderate Risk,44.174396293198306,Emerging
Germany,DEU,83287273,4164363650,475383.9783105023,22.15986241187169,922817255.1699976,Moderate,3241546394.8300023,Moderate,81.9034366692129,46.05729211480818,Moderate,35.35165707,40.70447459240409,Moderate Risk,42.84560160136572,Emerging
Ghana,GHA,33787914,1689395700,192853.3904109589,10.773493237159474,182006931.48836297,Low,1507388768.511637,Low,57.8074737774654,29.587085453281844,Low,6.314734089,17.95090977114092,Low Risk,22.60538004399729,Developing
Gibraltar,GIB,38471,1923550,219.5833333333333,26.731358968532604,514191.05543920887,Moderate,1409358.9445607911,Moderate,100.0,56.03881538111956,Good,,,,,
Greece,GRC,10407351,520367550,59402.688356164384,17.091596544050333,88939122.19215938,Low,431428427.8078406,Low,78.7746303842088,41.764810080113726,Moderate,20.32571313,31.045261605056865,Moderate Risk,35.333080995079605,Emerging
Greenland,GRL,56865,2843250,324.5719178082192,74.72732392569299,2124684.637517265,Highly Effective,718565.3624827345,Highly Effective,88.0631147749908,80.06164026541211,Advanced,,,,,
Grenada,GRD,117081,5854050,668.2705479452055,65.60902846733127,3840785.330991808,Highly Effective,2013264.6690081933,Highly Effective,36.462128238584,53.950268375832366,Good,7.05,30.50013418791618,Moderate Risk,39.880187863082654,Emerging
Guam,GUM,166506,8325300,950.3767123287672,52.50528173828176,4371222.220557171,Good,3954077.779442829,Good,94.1349341638921,69.1571427085259,Good,,,,,
Guatemala,GTM,18124838,906241900,103452.2716894977,70.35954426407883,637627670.770129,Highly Effective,268614229.22987103,Highly Effective,55.6082319565539,64.45901934106887,Good,5.742097081,35.10055821103443,Moderate Risk,46.84394266304821,Emerging
Guinea,GIN,14405468,720273400,82222.99086757991,65.27540576743358,470161384.48489,Highly Effective,250112015.51511,Highly Effective,37.6454083954705,54.22340681864834,Good,1.369230769,27.79631879382417,Moderate Risk,38.36715400375384,Emerging
Guinea-Bissau,GNB,2153339,107666950,12290.747716894975,18.992754416452687,20448919.401184905,Low,87218030.5988151,Low,45.5923843383789,29.63260638522317,Low,1.495726496,15.564166440611585,Low Risk,21.19154241845622,Developing
Guyana,GUY,826353,41317650,4716.626712328767,71.94192488674834,29724712.727969576,Highly Effective,11592937.272030424,Highly Effective,26.4651457279878,53.75121322324412,Good,3.298401827,28.52480752512206,Moderate Risk,38.615369804370886,Emerging
Haiti,HTI,11637398,581869900,66423.50456621005,45.4506681436738,264463757.2769266,Good,317406142.72307336,Good,54.4496819335618,49.050273659629,Moderate,13.38379177,31.2170327148145,Moderate Risk,38.3503290927403,Emerging
Honduras,HND,10644851,532242550,60758.28196347033,65.55801163730469,348927632.8676872,Highly Effective,183314917.1323128,Highly Effective,58.3132392705102,62.66010269058689,Good,4.621268764,33.640685727293445,Moderate Risk,45.248452512610825,Emerging
"Hong Kong SAR, China",HKG,7536100,376805000,43014.2694063927,72.20684749426199,272079011.7007539,Highly Effective,104725988.29924607,Highly Effective,100.0,83.32410849655719,Advanced,,,,,
Hungary,HUN,9592186,479609300,54749.9200913242,28.85026062288979,138368533.02161738,Moderate,341240766.9783826,Moderate,70.2923026891431,45.42707744939112,Moderate,8.108497409,26.76778742919556,Moderate Risk,34.23150343727379,Emerging
Iceland,ISL,385663,19283150,2201.2728310502284,13.253894339575757,2555768.326341903,Low,16727381.673658095,Low,94.1518261784801,45.61306707513749,Moderate,0.394075282,23.003571178568745,Low Risk,32.047369537196246,Emerging
India,IND,1438069596,71903479800,8208159.794520549,22.095137190645627,15887172506.658169,Moderate,56016307293.34184,Moderate,35.0676918424186,27.284159051354813,Low,66.49209283,46.88812594067741,Moderate Risk,39.046539184948365,Emerging
Indonesia,IDN,281190067,14059503350,1604966.1358447487,37.03308414696922,5206667706.251457,Moderate,8852835643.748543,Moderate,58.1179353397878,45.46702462409665,Moderate,29.69654528,37.581784952048324,Moderate Risk,40.735880820867656,Emerging
"Iran, Islamic Rep.",IRN,90608707,4530435350,517172.9851598174,66.351107444187,3005994026.767929,Highly Effective,1524441323.232071,Highly Effective,76.6759567260742,70.48104715694188,Advanced,81.28908129,75.88506422347095,Critical,73.72345739685932,Advanced
Iraq,IRQ,45074049,2253702450,257271.9691780822,69.55479374422576,1567558090.7060626,Highly Effective,686144359.2939374,Highly Effective,69.868278503418,69.68018764790266,Good,59.58384831,64.63201797895132,High Risk,66.65128584653186,Advanced
Ireland,IRL,5311538,265576900,30316.997716894974,5.521409789839303,14663588.956151737,Low,250913311.04384828,Low,64.1152082461268,28.9589291723543,Low,8.051010587,18.504969879677148,Low Risk,22.68655359674801,Developing
Isle of Man,IMN,84165,4208250,480.3938356164384,43.30604769331743,1822426.752054031,Good,2385823.247945969,Good,52.1832571730182,46.85693148519773,Moderate,,,,,
Israel,ISR,9849000,492450000,56215.75342465754,36.30582523615843,178788036.37546217,Moderate,313661963.6245378,Moderate,91.5089569794505,58.38707793347526,Good,131.998964714,95.19302132373764,Critical,80.47064396763268,Highly Advanced
Italy,ITA,58984216,2949210800,336667.899543379,21.65808578530477,638742605.0534731,Moderate,2310468194.946527,Moderate,69.5381540123301,40.8101130761149,Moderate,29.76738039,35.28874673305745,Moderate Risk,37.49729327028043,Emerging
